,label_name,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator_x,AnatomicRegionModifierSequence.CodeValue_x,AnatomicRegionModifierSequence.CodeMeaning_x,recommendedDisplayRGBValue,recommendedDisplayRGBValue.R,recommendedDisplayRGBValue.G,recommendedDisplayRGBValue.B,label_id,AnatomicRegionModifierSequence.CodeMeaning_y,AnatomicRegionModifierSequence.CodeValue_y,AnatomicRegionModifierSequence.CodingSchemeDesignator_y,AnatomicRegionModifierSequence.CodeMeaning_y,AnatomicRegionModifierSequence.CodeValue_y,AnatomicRegionModifierSequence.CodingSchemeDesignator_y
0,spleen,SCT,123037004,Anatomical Structure,SCT,78961009,Spleen,,,,,,,,,,"[157, 108, 162]",157.0,108.0,162.0,1,,,,,,
1,kidney_right,SCT,123037004,Anatomical Structure,SCT,64033007,Kidney,SCT,24028007.0,Right,,,,,,,"[212, 126, 151]",212.0,126.0,151.0,2,,,,,,
2,kidney_left,SCT,123037004,Anatomical Structure,SCT,64033007,Kidney,SCT,7771000.0,Left,,,,,,,"[212, 126, 151]",212.0,126.0,151.0,3,,,,,,
3,gallbladder,SCT,123037004,Anatomical Structure,SCT,28231008,Gallbladder,,,,,,,,,,"[139, 150, 98]",139.0,150.0,98.0,4,,,,,,
4,liver,SCT,123037004,Anatomical Structure,SCT,10200004,Liver,,,,,,,,,,"[221, 130, 101]",221.0,130.0,101.0,5,,,,,,
5,stomach,SCT,123037004,Anatomical Structure,SCT,69695003,Stomach,,,,,,,,,,"[160, 139, 76]",160.0,139.0,76.0,6,,,,,,
6,pancreas,SCT,123037004,Anatomical Structure,SCT,15776009,Pancreas,,,,,,,,,,"[249, 180, 111]",249.0,180.0,111.0,7,,,,,,
7,adrenal_gland_right,SCT,123037004,Anatomical Structure,SCT,23451007,Adrenal gland,SCT,24028007.0,Right,,,,,,,"[199, 27, 27]",199.0,27.0,27.0,8,,,,,,
8,adrenal_gland_left,SCT,123037004,Anatomical Structure,SCT,23451007,Adrenal gland,SCT,7771000.0,Left,,,,,,,"[199, 27, 27]",199.0,27.0,27.0,9,,,,,,
9,lung_upper_lobe_left,SCT,123037004,Anatomical Structure,SCT,45653009,Upper lobe of lung,SCT,7771000.0,Left,,,,,,,"[112, 162, 95]",112.0,162.0,95.0,10,,,,,,
