,label_name,recommendedDisplayRGBValue,Model,Structure JSON,label_id,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator,AnatomicRegionModifierSequence.CodeValue,AnatomicRegionModifierSequence.CodeMeaning
0,rib_left_1,"[0, 2, 145]",ribs,"rib_left_1: ""1"",",1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,7771000.0,Left,,,,,,
1,rib_left_2,"[141, 186, 216]",ribs,"rib_left_2: ""2"",",2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,7771000.0,Left,,,,,,
2,rib_left_3,"[30, 128, 188]",ribs,"rib_left_3: ""3"",",3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,7771000.0,Left,,,,,,
3,rib_left_4,"[73, 228, 202]",ribs,"rib_left_4: ""4"",",4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,7771000.0,Left,,,,,,
4,rib_left_5,"[8, 82, 73]",ribs,"rib_left_5: ""5"",",5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,7771000.0,Left,,,,,,
5,rib_left_6,"[88, 119, 255]",ribs,"rib_left_6: ""6"",",6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,7771000.0,Left,,,,,,
6,rib_left_7,"[109, 0, 145]",ribs,"rib_left_7: ""7"",",7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,7771000.0,Left,,,,,,
7,rib_left_8,"[164, 216, 199]",ribs,"rib_left_8: ""8"",",8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,7771000.0,Left,,,,,,
8,rib_left_9,"[96, 188, 62]",ribs,"rib_left_9: ""9"",",9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,7771000.0,Left,,,,,,
9,rib_left_10,"[26, 97, 228]",ribs,"rib_left_10: ""10"",",10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,7771000.0,Left,,,,,,
10,rib_left_11,"[16, 164, 144]",ribs,"rib_left_11: ""11"",",11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,7771000.0,Left,,,,,,
11,rib_left_12,"[166, 89, 255]",ribs,"rib_left_12: ""12"",",12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,7771000.0,Left,,,,,,
12,rib_left_13,,ribs,"rib_left_13: ""13"",",13,SCT,123037004,Anatomical Structure,SCT,1193560003,Thirteenth rib,SCT,7771000.0,Left,,,,,,
13,rib_right_1,"[0, 2, 145]",ribs,"rib_right_1: ""14"",",14,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,24028007.0,Right,,,,,,
14,rib_right_2,"[141, 186, 216]",ribs,"rib_right_2: ""15"",",15,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,24028007.0,Right,,,,,,
15,rib_right_3,"[30, 128, 188]",ribs,"rib_right_3: ""16"",",16,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,24028007.0,Right,,,,,,
16,rib_right_4,"[73, 228, 202]",ribs,"rib_right_4: ""17"",",17,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,24028007.0,Right,,,,,,
17,rib_right_5,"[8, 82, 73]",ribs,"rib_right_5: ""18"",",18,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,24028007.0,Right,,,,,,
18,rib_right_6,"[88, 119, 255]",ribs,"rib_right_6: ""19"",",19,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,24028007.0,Right,,,,,,
